eighteen,attempt_to_see_the_birds,successful,date_first_seen,number_of_trips,home_post_code,mode_of_transportation,car_pool,car_pool_size,sole_reason,overnight?,number_of_nights,accomodation,accomodation_post_codes,eating_type,dining_type,how_many_dine_outs,first_time_seeing_terns,petrol_cost,dining_cost,accomodation_cost,airfare_cost,organizational_affiliation,often_chase_rare_birds,additional_birding,additional_ecotourism,age,sex,marital_status,hourly_wage,5$_donation,25$_donation,50$_donation,75$_donation,100$_donation,time_at_site,education,employment_status,find_out_about_terns,years_birding,birding_experience,submit_to_eBird,submit_to_Birddata,how_many_birders_did_you_see,Indicate_Facebook
Yes,Yes,Yes,15/12/2017,Twice,2580,Private Vehicle,No,,Yes,Yes,3,Hotel/Motel,2430; 2429,Ate out,Sit down,6,Yes,200,150,320,,"BirdLife Australia, Local birding club, Professional ornithological Society",1-3 times,Yes,No,66,Male,Single,25,Yes,Yes,Yes,Yes,Yes,3,University,Retired,Other,45,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,7,No
Yes,Yes,Yes,3/01/2018,Once,2903,Private Vehicle,Yes,3,Yes,Yes,1,Hotel/Motel,2423,Both: made own meals and ate out.,Sit down,1,Yes,50,30,40,,"BirdLife Australia, Local birding club, local field nats",1-3 times,Yes,No,64,Female,Divorced,,No,No,No,No,No,2,Postgraduate,Retired,Birding Aus Listservs,12,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,8,No
Yes,Yes,Yes,13/01/2018,Once,2289,Private Vehicle,No,,No,No,,,,Ate out,Fast food,1,Yes,50,10,,,Local birding club,1-3 times,Yes,No,36,Male,Married,46,Yes,Yes,No,No,No,1.5,Postgraduate,Employed - full time,Australian Twitchers Facebook page,5,Expert birder (can identify >300 Australian bird species without a field guide),No,No,5,No
Yes,Yes,Yes,6/01/2018,Once,2280,Private Vehicle,Yes,2,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,,10,,,Local birding club,1-3 times,Yes,No,37,Female,Married,,Yes,Yes,No,No,No,2,University,Self-employed,Australian Twitchers Facebook page,3,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,4,Yes
Yes,Yes,Yes,12/12/2017,Once,2323,Private Vehicle,Yes,2,Yes,No,,,,Made own meals,,,Yes,50,,,,Local birding club,1-3 times,No,No,35,Male,,38,Yes,Yes,Yes,No,No,3,High School,Employed - full time,Australian Twitchers Facebook page,24,Expert birder (can identify >300 Australian bird species without a field guide),No,No,18,Yes
Yes,Yes,Yes,16/12/2017,Once,2121,Private Vehicle,Yes,3,Yes,Yes,1,Cabin at caravan park,2430,Both: made own meals and ate out.,Fast food,1,Yes,100,40,140,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,53,Female,Married,,Yes,Yes,Yes,No,No,3,University,Retired,"Australian Twitchers Facebook page, Other Facebook page, email, Birding Aus Listservs",10,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,30,Yes
Yes,Yes,Yes,13/12/2017,Once,2193,Private Vehicle,Yes,3,Yes,No,,,,Both: made own meals and ate out.,Fast food,1,Yes,,8.25,,,Local birding club,1-3 times,No,No,52,Male,Single,30,No,No,No,No,No,2,University,Self-employed,Other,20,Expert birder (can identify >300 Australian bird species without a field guide),Yes,No,13,No
Yes,Yes,Yes,7/01/2018,Once,2291,Private Vehicle,Yes,1,Yes,No,,,,Made own meals,,,Yes,60,0,0,0,Local birding club,Never,Yes,No,46,Female,Single,40,Yes,Yes,No,No,No,1,Other,Self-employed,"Australian Twitchers Facebook page, Other Facebook page",2,Intermediate birder (can identify >100 but <300 Australian birds without using a field guide),No,No,8,Yes
Yes,Yes,Yes,11/01/2018,Once,2291,Private Vehicle,Yes,4,Yes,No,,,,Made own meals,,,Yes,60,10,0,0,"BirdLife Australia, Local birding club",3-7 times,Yes,No,71,Male,Married,12.5,Yes,No,No,No,No,2,University,Retired,email,6,Expert birder (can identify >300 Australian bird species without a field guide),No,No,9,
Yes,Yes,Yes,13/12/2017,Once,2611,Private Vehicle,Yes,4,Yes,Yes,1,Holiday flat/unit,2427,Both: made own meals and ate out.,Sit down,1,Yes,,50,170,,"BirdLife Australia, Local birding club",1-3 times,Yes,No,72,Male,Married,40,Yes,Yes,Yes,Yes,Yes,1,Postgraduate,Retired,Australian Twitchers Facebook page,32,Expert birder (can identify >300 Australian bird species without a field guide),No,No,8,No
